gene_id,PTEN_normal_mean_Z,PTEN_normal_mean_RSEM,PTEN_normal_median_RSEM,PTEN_deleted_mean_Z,PTEN_deleted_mean_RSEM,PTEN_deleted_median_RSEM,Z_score_diff,log2_fold_change,log2_median_change
FGL1,0.002360028334403756,51.748896448087436,0.7031499999999999,-0.04303060956283635,4.297113114754098,0.7469,0.045390637897240106,3.590088437876057,-0.08708261209113319
SLITRK3,-0.03559823165009682,3.565251912568306,0.81235,0.1369264227249178,42.19339836065574,0.3461,-0.17252465437501463,-3.5649413675392827,1.2309125032366388
GRIA2,0.06796436988849694,472.77204412568307,7.433450000000001,-0.2503670045112045,39.950772131147545,1.7783,0.3183313743997015,3.5648494372498902,2.0635332193360694
PI3,-0.0651595118077227,102.25471707650273,3.17065,0.5034900530248341,1200.4494360655738,26.874,-0.5686495648325568,-3.55333533505226,-3.0833605361248555
NTS,0.024459594210263957,863.2853636612022,0.7034,-0.03421452067746266,76.777578688524585,0.7415,0.058674114887726614,3.491080560740895,-0.07610135771668602
HPD,0.004377522050857694,33.95497431693989,0.88425,-0.0754738377552826,3.157839344262295,0.6053,0.07985135980614029,3.426613260322757,0.5468039628780834
ASCL1,-0.030706163579290617,99.58000792349726,0.65335,-0.21192205689371665,9.412709836065574,0.7469,0.18121589331442603,3.403174103167795,-0.1930590467377555
BTN1A1,-0.010563658248482061,33.82990942622951,0.90425,-0.04573680124362197,3.233139344262295,1.4193,0.035173142995139905,3.387291722300384,-0.650385968689686
BPIL1,0.016827329056904358,476.70019603825136,23.1896,-0.09365848447087702,46.04089180327869,1.5408,0.11048581352778138,3.3720945351210494,3.911726421584023
MAGEA4,-0.05972546006863885,55.15190901639344,0,0.7975835413346618,569.9208065573771,0,-0.8573090014033007,-3.369278734338004,NaN
CGA,0.013591106080616278,524.0555068306011,0.78505,-0.09485397721125283,50.97653934426229,0.4797,0.10844508329186911,3.3618142857714655,0.7106521029423882
MAGEA10,-0.06097168170052025,3.131584836065574,0,0.47049422960024473,31.614031147540985,0,-0.5314659113007649,-3.3356001390995544,NaN
GRIK1,0.04105356895495486,30.7413031420765,1.3102,-0.0948783757131327,3.07507868852459,0.8648,0.13593194466808756,3.3214830897056564,0.5993486255504568
HDC,0.03595254678112255,307.15156393442624,23.518250000000002,-0.07790739587283547,30.76998360655738,12.1491,0.11385994265395802,3.319355148987532,0.9529312692261068
CST9,0.015474226009320873,260.3321181693989,9.6347,-0.2186704351815036,26.384895081967212,0,0.23414466119082447,3.3025691616688992,Inf
TPH1,0.01955778049425853,35.054658333333336,2.3392,-0.1185554611769495,3.626460655737705,2.2108,0.13811324167120803,3.2729720714262895,0.08144669873827623
RUNDC3A,-0.0069350103878614,81.73812677595629,6.66005,-0.18783994585865255,8.922695081967213,6.6288,0.18090493547079115,3.195457736745527,0.00678528286997336
FAM196A,0.08180470645896983,314.83713387978145,28.2359,-0.2402739393145554,35.86466721311476,7.5522,0.32207864577352524,3.133970562211967,1.902561740697148
PNMA5,-0.027632410018133085,7.148462431693989,0.61035,0.29303689261785265,62.14327704918033,0.9981,-0.32066930263598575,-3.119893452231333,-0.7095475858091558
KLHL1,0.043348795048757105,65.19364043715846,0,-0.12039905254934502,7.530232786885246,0,0.16374784759810213,3.113964868467551,NaN
ZFP42,-0.07420064575707819,10.798411612021859,0,0.46040730914721756,93.05531475409836,0.4735,-0.5346079549042957,-3.107269435258547,-Inf
MSMB,0.01758132926459013,479.30956980874316,15.478200000000001,-0.12482515607575534,56.069980327868855,10.4478,0.14240648534034547,3.09565727608643,0.5670385214322202
SLC5A8,0.05395909420272341,221.33011024590164,1.8338,-0.16185246950224494,25.934696721311475,1.9268,0.21581156370496835,3.0932443278391295,-0.07137052638705348
FGB,-0.02659200353162068,262.3345080601093,0.55305,-0.07204146158613173,30.804345901639344,0.9506,0.04544945805451105,3.0902017884187005,-0.7814284844873617
GPM6A,0.01933211514148047,161.3571681693989,8.42515,-0.08369882290991072,19.110844262295082,4.7506,0.10303093805139119,3.077794250912234,0.8265926349329349
PEX5L,0.013520759691631702,44.62599398907104,4.035,-0.14942612670453206,5.328301639344263,1.9659,0.16294688639616375,3.066136641821362,1.037378735941208
GAGE12D,-0.008568716444989069,58.905255191256835,0,-0.05579515298414558,7.182675409836066,0,0.04722643653915651,3.035803123127549,NaN
TRIM72,0.03297829328100069,16.411519398907103,0.5166,-0.09218196321239444,2.0195344262295083,0.7179,0.12516025649339513,3.022614167105903,-0.4747352541416551
NR0B1,0.02196252791938787,16.4841868852459,0,-0.0570082724393285,2.043681967213115,0,0.07897080035871637,3.0118401148261147,NaN
INSM1,0.029351205103185285,171.29204262295082,4.9168,-0.13714357698587742,21.24890819672131,3.8118,0.1664947820890627,3.010997512274393,0.36724724707101797
SPRR1B,-0.04146938514067195,22.50054726775956,0,0.4133127273201069,177.17204590163934,0.3277,-0.4547821124607788,-2.9771189974802663,-Inf
CDH7,0.04079063650582823,20.03086051912568,1.4520499999999998,-0.20325646531934413,2.5454754098360657,0.6053,0.24404710182517236,2.9762173663288216,1.262368875898868
STAR,0.01923632164752347,101.52387827868853,6.95715,-0.028552830088976792,12.902059016393443,7.5001,0.047789151736500265,2.9761458609989337,-0.10841340507113564
C20orf114,0.020267808651511524,1006.3375101092896,113.69445,-0.12262510074657365,128.93548032786885,16.5335,0.1428929093980852,2.9643930212818432,2.7816977624946597
CT45A5,-0.0378088182146826,2.6552948087431694,0,0.4357780506456235,20.560432786885247,0,-0.4735868688603061,-2.952926680093483,NaN
SCGB2A1,0.023005110654628208,719.131974590164,50.08155,-0.08675973366369633,93.33203442622951,10.0729,0.10976484431832453,2.9458123088113517,2.313800116901999
SCG3,0.001563268175170202,57.17965286885246,1.0663,-0.11250545872831921,7.4548,1.8481,0.11406872690348942,2.9392603085487705,-0.7934294298410037
PCSK2,-0.035608832149691495,32.19716243169399,0.3738,-0.0933462476241767,4.212457377049181,0.4975,0.05773741547448521,2.934199553932532,-0.4124299565732154
